Time,Global Solar,Solar Altitude,Solar Azimuth,Solar Angle of Incidence,Solar Cell Temperature,Solar Insolation,Solar Power Output,Wind Speed,Wind turbine Power Output,Wind turbine Operating Status,Ambient Temperature,AC Primary Load,AC Primary Load Served,Autosize Genset Power Output,Autosize Genset Operating Status,Autosize Genset Fuel,Total Electrical Load Served,Renewable Penetration,Excess Electrical Production,Unmet Electrical Load,Total Renewable Power Output,Inverter Power Input,Inverter Power Output,Rectifier Power Input,Rectifier Power Output,Battery Maximum Charge Power,Battery Maximum Discharge Power,Battery Charge Power,Battery Discharge Power,Battery Input Power,Battery Energy Content,Battery State of Charge,Battery Energy Cost,AC Required Operating Capacity,DC Required Operating Capacity,AC Operating Capacity,DC Operating Capacity
01-01-2007 00:00,0,0,-6.78795,90,25.63279,0,0,4.805443,0.3898317,0,25.63279,3.6254,3.6254,0,0,0,3.6254,10.75279,0,4.44E-16,0.3898317,3.816211,3.6254,0,0,0,71.68927,0,3.426379,-3.426379,174.7645,97.91775,0,3.98794,0.1949158,0,72.0791
01-01-2007 01:00,0,0,-45.35176,90,25.63279,0,0,4.303294,0.2614172,0,25.63279,3.560493,3.560493,0,0,0,3.560493,7.342164,0,0,0.2614172,3.747887,3.560493,0,0,2.038244,69.95676,0,3.48647,-3.48647,170.9829,95.79897,0,3.916542,0.1307086,0,70.21818
01-01-2007 02:00,0,0,-60.21218,90,25.63279,0,0,2.636609,0,0,25.63279,5.328364,5.328364,0,0,0,5.328364,0,0,0,0,5.608804,5.328364,0,0,3.865145,68.40389,0,5.608804,-5.608804,164.8993,92.39043,0,5.8612,0,0,68.40389
01-01-2007 03:00,0,0,-65.94936,90,25.63279,0,0,3.167456,0.06572297,0,25.63279,6.730248,6.730248,0,0,0,6.730248,0.9765311,0,8.88E-16,0.06572297,7.084472,6.730248,0,0,6.919585,65.80762,0,7.018749,-7.018749,157.2864,88.12504,0,7.403273,0.03286149,0,65.87334
01-01-2007 04:00,0,0,-68.03603,90,25.63279,0,0,4.522918,0.2992563,0,25.63279,7.013267,7.013267,0,0,0,7.013267,4.267004,0,0,0.2992563,7.382386,7.013267,0,0,10.65537,62.6322,0,7.083129,-7.083129,149.6037,83.82053,0,7.714593,0.1496282,0,62.93146
01-01-2007 05:00,0,0,-68.16988,90,25.63279,0,0,2.153882,0,0,25.63279,7.008128,7.008128,0,0,0,7.008128,0,0,8.88E-16,0,7.376977,7.008128,0,0,14.30826,59.52724,0,7.376977,-7.376977,141.6022,79.33744,0,7.708941,0,0,59.52724
01-01-2007 06:00,0.004343954,0,-66.87939,90,25.63279,0,0,4.731606,0.3580284,0,25.63279,4.548411,4.548411,0,0,0,4.548411,7.871504,0,8.88E-16,0.3580284,4.787801,4.548411,0,0,18.11628,56.29042,0,4.429773,-4.429773,136.7975,76.64542,0,5.003253,0.1790142,0,56.64845
01-01-2007 07:00,0.04776672,12.11845,-64.17857,74.46878,26.84714,0.04780466,1.108255,5.908009,1.009472,0,25.63279,3.641807,3.641807,0,0,0,3.641807,58.15045,0,0,2.117727,3.833481,3.641807,0,0,20.14748,54.56391,0,1.715754,-1.715754,134.9365,75.60273,0,4.005987,1.39134,0,56.68164
01-01-2007 08:00,0.08813573,25.24083,-59.68156,60.89402,27.86993,0.0879828,2.031085,9.041699,5.220199,0,25.63279,4.385875,4.385875,0,0,0,4.385875,165.3326,0,0,7.251284,4.616711,4.385875,0,0,20.77379,54.03154,2.634573,0,2.634573,137.3654,76.96363,0,4.824463,4.234968,0,61.28283
01-01-2007 09:00,0.1604431,37.59652,-52.4675,47.78281,29.71208,0.1601514,3.668843,9.306083,5.625131,0,25.63279,5.933216,5.933216,0,0,0,5.933216,156.6431,0,0,9.293973,6.245491,5.933216,0,0,19.26903,55.31059,3.048483,0,3.048483,140.176,78.53835,0,6.526537,5.747639,0,64.60456
